id,name,x,y,Tot.tr,size,% 
1,ABW,51170.10532,87481.74027,13609,0.090516566,0.017259848
2,AFG,30356.43566,18056.60663,803,0.005340936,0.001018419
3,AGO,33079.71307,83465.71216,8386,0.0557772,0.010635688
4,AIA,66220.41276,16189.52515,174,0.001157314,0.000220678
5,ALB,40357.10139,86238.99152,11724,0.077979,0.014869164
6,AND,13477.76867,41492.55508,2155,0.014333397,0.002733116
7,ANT,31702.23597,17267.11392,795,0.005287726,0.001008272
8,ARE,43311.79154,74088.74981,455292,3.028251026,0.577431896
9,ARG,64029.67663,29307.77505,128373,0.853838128,0.162811261
10,ARM,12896.98624,55442.09239,3313,0.022035519,0.004201769
11,ASM,84300.13408,34842.46715,34,0.000226142,4.31211E-05
12,ATA,81314.90492,29369.27704,47,0.000312608,5.96086E-05
13,ATG,19121.06867,28722.27456,1368,0.00909888,0.001734989
14,AUS,51353.47271,74963.33535,469355,3.121787249,0.595267537
15,AUT,71421.4294,62888.84643,682522,4.539609627,0.865620245
16,AZE,66220.41276,83810.47485,28743,0.191176254,0.036453803
17,BDI,68974.77073,17654.86009,159,0.001057545,0.000201654
18,BEL,73691.32928,57982.53825,730047,4.855709251,0.925894642
19,BEN,75246.6239,77728.28848,35444,0.235746135,0.044952462
20,BES,87208.1998,45330.96716,4,2.66049E-05,5.07307E-06
21,BFA,30356.43566,81943.39337,8083,0.053761878,0.010251404
22,BGD,20996.64689,26229.10376,1168,0.007768635,0.001481336
23,BGR,86981.76796,56212.79637,67251,0.447301753,0.085292235
24,BHR,86337.34039,59265.40304,62220,0.413839424,0.078911583
25,BHS,44944.16383,87157.61726,11908,0.079202826,0.015102525
26,BIH,83639.91365,66571.24647,50653,0.336904666,0.064241537
27,BLR,45955.45009,25329.33694,151199,1.005659065,0.191760728
28,BLZ,41872.93561,86608.75338,11740,0.07808542,0.014889457
29,BMU,27769.12586,19800.02922,856,0.005693451,0.001085637
30,BOL,26308.67072,42017.46175,238327,1.585167282,0.30226231
31,BRA,37670.48371,52057.43238,1675163,11.14189152,2.124554236
32,BRB,20996.64689,73770.89624,6090,0.04050598,0.007723747
33,BRN,34486.48229,15859.39707,747,0.004968468,0.000947396
34,BTN,72854.3355,20269.05065,130,0.00086466,0.000164875
35,BWA,72854.3355,79730.94935,33463,0.222570052,0.042440024
36,CAF,24181.98768,77197.06307,7281,0.048427593,0.009234253
37,CAN,44978.80719,61447.16658,1877265,12.48611806,2.380873567
38,CCK,86337.34039,40734.59696,20,0.000133025,2.53653E-05
39,CHE,25146.55107,47297.02454,256791,1.707975561,0.325679595
40,CHL,71421.4294,37111.15357,91541,0.608860088,0.116098445
41,CHN,62500,50000,15034817,100,19.06816479
42,CIV,26308.67072,57982.53825,317441,2.111372556,0.402599998
43,CMR,48967.75818,37542.69384,973068,6.472097399,1.234110198
44,COD,87500,50000,76695,0.510115953,0.097269751
45,COG,84900.97467,63717.57875,54123,0.359984428,0.068642424
46,COK,67612.83728,16893.53593,160,0.001064197,0.000202923
47,COL,71597.79031,80655.92037,31057,0.206567197,0.039388573
48,COM,64799.90773,15544.04651,198,0.001316943,0.000251117
49,CPV,16022.6227,65867.82379,5174,0.034413455,0.006562014
50,CRI,38857.9608,85806.4933,10494,0.06979799,0.013309196
51,CUB,19121.06867,71277.72544,5975,0.039741089,0.007577896
52,CUW,23072.97872,23900.46887,1070,0.007116814,0.001357046
53,CXR,77464.16177,24466.30034,56,0.000372469,7.1023E-05
54,CYM,63353.78134,14958.21746,199,0.001323594,0.000252385
55,CYP,34486.48229,84140.60293,8778,0.058384482,0.011132849
56,CZE,59253.45388,26775.582,136482,0.907772938,0.17309564
57,DEU,39006.57811,55949.34241,1695390,11.27642591,2.150207476
58,DJI,61884.5371,14433.05217,206,0.001370153,0.000261263
59,DMA,51170.10532,12518.25973,412,0.002740306,0.000522526
60,DNK,27310.61451,39502.77246,211666,1.407838885,0.268449039
61,DOM,87208.1998,54669.03284,72112,0.479633374,0.091457282
62,DZA,35970.32337,29307.77505,190340,1.265994791,0.241401973
63,ECU,35920.10827,84756.39004,9072,0.060339943,0.01150572
64,EGY,85441.39527,62253.87701,57805,0.384474251,0.073312184
65,ERI,71597.79031,19344.07963,144,0.000957777,0.00018263
66,ESP,25584.48611,44625.73899,249531,1.659687644,0.316471975
67,EST,54044.54991,74670.66306,474790,3.157936675,0.602160569
68,ETH,25335.69235,21752.4881,907,0.006032664,0.001150318
69,EU2,48967.75818,62457.30616,2421347,16.10493164,3.070914905
70,FIN,64029.67663,70692.22495,583728,3.882508181,0.740323058
71,FJI,37378.10913,85312.00746,9775,0.065015756,0.012397312
72,FLK,16022.6227,34132.17621,1873,0.012457751,0.002375464
73,FRA,72689.38549,60497.22754,722441,4.805120009,0.916248202
74,FRO,17459.22633,31362.72421,1604,0.01066857,0.002034301
75,FSM,82921.45635,32043.72779,39,0.000259398,4.94624E-05
76,GAB,40746.54612,73224.418,434275,2.888462161,0.550776725
77,GBR,56836.85198,39535.41902,892970,5.939347316,1.132524534
78,GEO,81314.90492,70630.72296,43027,0.286182399,0.054569731
79,GHA,45955.45009,74670.66306,461662,3.07061935,0.585510758
80,GIB,46494.24097,12664.23091,523,0.003478592,0.000663304
81,GIN,14311.34844,61513.91113,4776,0.031766266,0.006057244
82,GMB,16712.11079,32732.50361,1649,0.010967875,0.002091373
83,GNB,24181.98768,22802.93693,929,0.006178991,0.00117822
84,GNQ,20032.91852,72543.82459,6085,0.040472724,0.007717406
85,GRC,85920.46029,60768.96155,61263,0.407474198,0.077697852
86,GRD,75246.6239,22271.71152,77,0.000512145,9.76566E-05
87,GRL,17459.22633,68637.27579,5680,0.037778977,0.007203758
88,GTM,61884.5371,85566.94783,26302,0.174940606,0.033357963
89,GUM,60394.71855,13969.45981,221,0.001469921,0.000280287
90,GUY,84300.13408,65157.53285,53030,0.352714636,0.067256208
91,HKG,74415.51389,55374.26101,777961,5.174396203,0.986662395
92,HND,26532.09548,79249.05909,7499,0.049877561,0.009510736
93,HRV,28578.5706,37111.15357,207403,1.379484699,0.263042416
94,HTI,13863.2789,39980.64931,2010,0.013368969,0.002549217
95,HUN,35970.32337,70692.22495,396715,2.638642027,0.50314061
96,IDN,44978.80719,38552.83342,1021430,6.793764101,1.295446135
97,IND,27310.61451,60497.22754,318943,2.121362701,0.404504936
98,IRL,86691.31388,57745.80441,66239,0.44057071,0.084008749
99,IRN,13863.2789,60019.35069,4379,0.029125729,0.005553742
100,IRQ,31850.1127,32807.51353,201600,1.340887621,0.255682661
101,ISL,60394.71855,86030.54019,24690,0.164218826,0.031313516
102,ISR,68149.8873,67192.48647,597174,3.971940596,0.757376178
103,ITA,41533.98035,59196.54888,1742007,11.58648622,2.209330286
104,JAM,18262.67593,69974.79063,5879,0.039102571,0.007456143
105,JOR,48646.52729,74963.33535,461910,3.072268854,0.585825288
106,JPN,39006.57811,44050.65759,1366928,9.091750169,1.733629905
107,KAZ,54281.72426,87254.7559,16366,0.108854002,0.02075646
108,KEN,22010.5854,74956.81611,7062,0.046970974,0.008956503
109,KGZ,18262.67593,30025.20937,1477,0.009823864,0.001873231
110,KHM,33815.34288,30945.94862,197850,1.315945515,0.250926659
111,KIR,48050.38722,12550.71416,509,0.003385475,0.000645548
112,KNA,40357.10139,13761.00848,660,0.004389811,0.000837056
113,KOR,66184.65712,69054.05138,585813,3.896375992,0.742967395
114,KWT,77464.16177,75533.69966,37051,0.246434659,0.046990567
115,LAO,37670.48371,47942.56762,1416641,9.42240268,1.796679271
116,LBN,48646.52729,25036.66465,151083,1.004887522,0.191613609
117,LBR,13477.76867,58507.44492,3564,0.023704978,0.004520104
118,LBY,16712.11079,67267.49639,5588,0.037167064,0.007087077
119,LCA,38857.9608,14193.5067,695,0.004622604,0.000881446
120,LKA,73691.32928,42017.46175,85333,0.567569263,0.108225042
121,LSO,12702.71947,46106.04766,2324,0.015457455,0.002947453
122,LTU,33815.34288,69054.05138,388538,2.584254933,0.492769989
123,LUX,76378.22561,76654.06561,35727,0.237628433,0.045311381
124,LVA,61710.21102,72087.80111,574872,3.823604903,0.729091284
125,MAC,27769.12586,80199.97078,7572,0.050363101,0.009603319
126,MAR,82146.00596,69310.21235,45847,0.304938863,0.058146245
127,MDA,29044.64197,81098.60077,8072,0.053688715,0.010237453
128,MDG,23072.97872,76099.53113,7100,0.047223721,0.009004697
129,MDV,72689.38549,39502.77246,85571,0.569152255,0.10852689
130,MEX,69902.32664,65129.35538,605184,4.025216935,0.767534998
131,MHL,86981.76796,43787.20363,5,3.32561E-05,6.34134E-06
132,MKD,46494.24097,87335.76909,12634,0.084031618,0.016023287
133,MLI,49609.90861,87497.97099,13383,0.089013388,0.01697322
134,MLT,43402.83927,86915.13877,11818,0.078604216,0.014988381
135,MMR,74853.44893,47297.02454,82653,0.549743971,0.104826086
136,MNE,12896.98624,44557.90761,2271,0.015104939,0.002880235
137,MNG,41872.93561,13391.24662,559,0.003718037,0.000708961
138,MNP,86691.31388,42254.19559,6,3.99074E-05,7.6096E-06
139,MOZ,31850.1127,67192.48647,349713,2.326020995,0.443529517
140,MRT,12573.02114,47660.92887,2363,0.015716852,0.002996915
141,MSR,80429.59202,28084.482,49,0.00032591,6.21451E-05
142,MUS,70303.85537,81527.82037,30187,0.200780628,0.038285181
143,MWI,68974.77073,82345.13991,30109,0.200261832,0.038186256
144,MYS,56836.85198,60464.58098,4533334,30.1522393,5.749478679
145,MYT,14311.34844,38486.08887,1954,0.0129965,0.002478194
146,NA,59864.25637,42322.34109,833424,5.543293277,1.057004297
147,NAM,80429.59202,71915.518,42255,0.281047651,0.053590629
148,NCL,31702.23597,82732.88608,8293,0.055158636,0.01051774
149,NER,55827.75971,87044.39521,17512,0.11647631,0.022209895
150,NFK,84900.97467,36282.42125,33,0.000219491,4.18528E-05
151,NGA,52728.27637,87400.62176,15289,0.101690629,0.019390537
152,NIC,78502.55242,74369.13018,41806,0.278061249,0.053021177
153,NIU,83639.91365,33428.75353,35,0.000232793,4.43894E-05
154,NLD,61822.71552,45941.25663,824182,5.481822625,1.045282972
155,NOR,54044.54991,25329.33694,143988,0.957697057,0.182615253
156,NPL,55827.75971,12955.60479,352,0.002341232,0.00044643
157,NRU,70303.85537,18472.17963,147,0.000977731,0.000186435
158,NZL,25000,50000,262112,1.743366747,0.332428044
159,OMN,68149.8873,32807.51353,110214,0.733058474,0.139780798
160,PAK,74415.51389,44625.73899,83807,0.557419488,0.106289667
161,PAN,57363.70623,86769.90387,17708,0.11777995,0.022458475
162,PER,56688.20846,74088.74981,485451,3.228845419,0.615681566
163,PHL,53068.56859,37882.49668,947200,6.300043426,1.201302663
164,PLW,44944.16383,12842.38274,532,0.003538453,0.000674718
165,PNG,74071.31563,78754.50858,33855,0.225177333,0.042937185
166,POL,25146.55107,52702.97546,278180,1.850238683,0.352806561
167,PRK,22010.5854,25043.18389,1146,0.007622308,0.001453434
168,PRT,30097.67336,34870.64462,203718,1.354974923,0.258368851
169,PRY,61710.21102,27912.19889,132718,0.882737715,0.168321882
170,PSE,15391.9557,64440.68107,5171,0.034393501,0.00655821
171,PYF,12508.1158,50780.14057,2785,0.018523671,0.003532124
172,QAT,67612.83728,83106.46407,29623,0.197029335,0.037569878
173,ROU,59253.45388,73224.418,556892,3.704015819,0.70628784
174,RUS,41533.98035,40803.45112,1263679,8.4050175,1.602682588
175,RWA,37378.10913,14687.99254,697,0.004635906,0.000883982
176,SAU,74853.44893,52702.97546,781102,5.195287711,0.990646022
177,SDN,43311.79154,25911.25019,155185,1.03217086,0.196816041
178,SEN,64799.90773,84455.95349,27994,0.186194484,0.035503871
179,SGP,28578.5706,62888.84643,323355,2.15070792,0.41010053
180,SHN,85441.39527,37746.12299,33,0.000219491,4.18528E-05
181,SLB,58886.90482,86431.75706,21699,0.144325002,0.027520129
182,SLE,13155.48514,56980.81119,3350,0.022281615,0.004248695
183,SLV,12573.02114,52339.07113,2955,0.01965438,0.003747729
184,SMR,58886.90482,13568.24294,260,0.001729319,0.000329749
185,SOM,74071.31563,21245.49142,80,0.000532098,0.000101461
186,SPM,78502.55242,25630.86982,51,0.000339213,6.46816E-05
187,SRB,38289.78898,27912.19889,173522,1.154134433,0.220072256
188,SSD,87467.5403,48440.05655,0,0,0
189,STP,87370.21741,46882.81364,2,1.33025E-05,2.53653E-06
190,SUR,82921.45635,67956.27221,49437,0.328816772,0.062699324
191,SVK,56688.20846,25911.25019,140715,0.935927587,0.178464215
192,SVN,51353.47271,25036.66465,146946,0.977371391,0.186366787
193,SWE,75000,50000,786983,5.234403585,0.998104702
194,SWZ,12508.1158,49219.85943,2740,0.018224365,0.003475052
195,SXM,82146.00596,30689.78765,42,0.000279352,5.32672E-05
196,SYC,12702.71947,53893.95234,3041,0.020226385,0.0038568
197,SYR,66184.65712,30945.94862,112073,0.745423107,0.142138506
198,TCA,43402.83927,13084.86123,535,0.003558407,0.000678523
199,TCD,57363.70623,13230.09613,293,0.00194881,0.000371602
200,TGO,48050.38722,87449.28584,12814,0.085228839,0.016251576
201,THA,59864.25637,57677.65891,7662339,50.96396584,9.717892992
202,TJK,13155.48514,43019.18881,2218,0.014752424,0.002813017
203,TKM,29044.64197,18901.39923,808,0.005374192,0.00102476
204,TLS,35920.10827,15243.60996,716,0.004762279,0.000908079
205,TON,14821.20159,37011.46112,1953,0.012989849,0.002476926
206,TTO,26532.09548,20750.94091,880,0.005853081,0.001116075
207,TUN,87467.5403,51559.94345,74643,0.496467632,0.094667266
208,TUR,69902.32664,34870.64462,109015,0.725083651,0.138260145
209,TUV,52728.27637,12599.37824,373,0.002480908,0.000473064
210,TZA,87370.21741,53117.18636,72236,0.480458126,0.091614547
211,UGA,33079.71307,16534.28784,758,0.005041631,0.000961347
212,UKR,40746.54612,26775.582,163337,1.086391673,0.207154955
213,UMI,79491.59991,26837.62675,51,0.000339213,6.46816E-05
214,URY,30097.67336,65129.35538,326921,2.1744262,0.414623171
215,USA,61822.71552,54058.74337,7818267,52.00107856,9.915651355
216,UZB,25335.69235,78247.5119,7478,0.049737885,0.009484102
217,VAT,85920.46029,39231.03845,27,0.000179583,3.42432E-05
218,VCT,54281.72426,12745.2441,359,0.002387791,0.000455308
219,VEN,63353.78134,85041.78254,26859,0.17864534,0.034064388
220,VGB,49609.90861,12502.02901,460,0.003059565,0.000583403
221,VNM,53068.56859,62117.50332,3708032,24.6629673,4.702775248
222,VUT,20032.91852,27456.17541,1265,0.008413804,0.001604358
223,WLF,76378.22561,23345.93439,76,0.000505493,9.63883E-05
224,WSM,15391.9557,35559.31893,1883,0.012524263,0.002388147
225,YEM,38289.78898,72087.80111,406526,2.703897227,0.515583579
226,ZAF,25584.48611,55374.26101,305365,2.031052323,0.387284404
227,ZMB,79491.59991,73162.37325,41988,0.279271773,0.053252002
228,ZWE,14821.20159,62988.53888,4911,0.032664182,0.00622846
